N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
,,,,,,,,,,,,
1.0,삼성전자,65200.0,500.0,-0.76%,100.0,3892298.0,5969783.0,51.65,12892761.0,8.09,17.07,
2.0,LG에너지솔루션,566000.0,6000.0,-1.05%,500.0,1324440.0,234000.0,5.42,188882.0,171.26,5.75,
3.0,SK하이닉스,87200.0,1900.0,-2.13%,5000.0,634818.0,728002.0,49.52,2049772.0,28.47,3.56,
4.0,삼성바이오로직스,797000.0,12000.0,+1.53%,2500.0,567257.0,71174.0,10.65,64937.0,69.84,11.42,
5.0,LG화학,767000.0,4000.0,-0.52%,5000.0,541443.0,70592.0,48.38,163023.0,32.54,6.95,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
6.0,삼성SDI,726000.0,8000.0,-1.09%,5000.0,499230.0,68765.0,49.53,159581.0,26.18,12.52,
7.0,삼성전자우,55200.0,500.0,-0.90%,100.0,454233.0,822887.0,71.9,827427.0,6.85,,
8.0,현대차,191900.0,1500.0,+0.79%,5000.0,405929.0,211532.0,31.33,433472.0,7.22,9.36,
9.0,기아,84700.0,1400.0,+1.68%,5000.0,343343.0,405363.0,36.97,935081.0,6.35,14.57,
10.0,POSCO홀딩스,398500.0,2500.0,+0.63%,5000.0,337016.0,84571.0,40.85,1483513.0,10.93,6.11,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
11.0,NAVER,190000.0,300.0,-0.16%,100.0,311693.0,164049.0,47.25,467450.0,41.0,3.29,
12.0,포스코퓨처엠,363500.0,16000.0,-4.22%,500.0,281579.0,77463.0,8.44,1667843.0,238.05,4.87,
13.0,카카오,57200.0,700.0,-1.21%,100.0,254916.0,445657.0,26.07,952887.0,18.83,13.54,
14.0,셀트리온,166500.0,1700.0,-1.01%,1000.0,243641.0,146331.0,20.41,311023.0,45.28,13.35,
15.0,현대모비스,232000.0,2000.0,+0.87%,5000.0,218741.0,94285.0,37.0,295277.0,8.82,6.8,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
16.0,삼성물산,107500.0,300.0,-0.28%,100.0,200904.0,186887.0,17.65,180871.0,9.91,7.16,
17.0,KB금융,49200.0,900.0,-1.80%,5000.0,198527.0,403511.0,72.76,1004183.0,4.6,9.17,
18.0,신한지주,35350.0,500.0,-1.39%,5000.0,178556.0,505108.0,62.43,1124547.0,4.04,9.7,
19.0,LG전자,107400.0,400.0,-0.37%,5000.0,175758.0,163648.0,28.42,557996.0,16.23,6.61,
20.0,SK이노베이션,179100.0,2900.0,-1.59%,5000.0,165606.0,92466.0,24.0,428366.0,10.7,8.49,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
21.0,LG,87700.0,1000.0,-1.13%,5000.0,137953.0,157301.0,35.77,127876.0,7.1,8.48,
22.0,삼성생명,65600.0,400.0,-0.61%,500.0,131200.0,200000.0,15.6,135179.0,8.29,5.73,
23.0,하나금융지주,41600.0,550.0,-1.30%,5000.0,123096.0,295903.0,70.9,787327.0,3.48,10.06,
24.0,SK,165200.0,1700.0,-1.02%,200.0,120924.0,73198.0,23.37,96811.0,11.23,5.13,
25.0,한국전력,18630.0,450.0,-2.36%,5000.0,119598.0,641964.0,14.5,1058950.0,-0.49,-46.91,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
26.0,KT&G,86000.0,1200.0,-1.38%,5000.0,118072.0,137292.0,44.48,375339.0,11.62,11.0,
27.0,두산에너빌리티,18080.0,330.0,-1.79%,5000.0,115813.0,640561.0,13.05,5808040.0,-14.5,-11.7,
28.0,카카오뱅크,22900.0,350.0,-1.51%,5000.0,109180.0,476767.0,13.49,615679.0,41.41,4.68,
29.0,하이브,259000.0,9000.0,+3.60%,500.0,107105.0,41353.0,17.63,269616.0,204.74,1.87,
30.0,고려아연,537000.0,8000.0,-1.47%,5000.0,106665.0,19863.0,21.83,35228.0,13.24,9.38,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
31.0,삼성전기,142200.0,500.0,+0.35%,5000.0,106214.0,74694.0,29.52,340195.0,11.25,13.76,
32.0,SK텔레콤,47700.0,900.0,-1.85%,100.0,104383.0,218833.0,44.22,405395.0,11.44,7.97,
33.0,HMM,21150.0,550.0,-2.53%,5000.0,103432.0,489039.0,11.25,1137443.0,1.03,64.98,
34.0,삼성화재,217500.0,1000.0,+0.46%,500.0,103040.0,47375.0,52.02,45786.0,8.59,9.7,
35.0,LG생활건강,625000.0,15000.0,+2.46%,5000.0,97614.0,15618.0,34.78,106115.0,46.81,4.41,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
36.0,HD현대중공업,109900.0,0.0,0.00%,5000.0,97562.0,88773.0,6.4,153558.0,-27.71,-6.47,
37.0,크래프톤,191000.0,2900.0,-1.50%,100.0,94043.0,49237.0,30.54,122958.0,18.74,10.29,
38.0,한화솔루션,54600.0,500.0,-0.91%,5000.0,93853.0,171893.0,24.75,2651803.0,29.29,4.21,
39.0,삼성에스디에스,117700.0,700.0,-0.59%,500.0,91074.0,77378.0,15.53,81042.0,8.28,14.23,
40.0,S-Oil,77500.0,700.0,-0.90%,2500.0,87252.0,112583.0,79.66,216093.0,4.29,27.2,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
41.0,우리금융지주,11670.0,80.0,-0.68%,5000.0,84965.0,728061.0,39.85,1710986.0,2.7,11.51,
42.0,대한항공,22950.0,300.0,-1.29%,5000.0,84507.0,368221.0,15.2,840844.0,4.78,21.95,
43.0,기업은행,10140.0,50.0,-0.49%,5000.0,80859.0,797426.0,13.93,574742.0,2.92,9.85,
44.0,엔씨소프트,363500.0,3500.0,-0.95%,500.0,79803.0,21954.0,45.34,41639.0,18.32,13.73,
45.0,KT,29900.0,700.0,-2.29%,5000.0,78072.0,261112.0,40.48,1247000.0,6.18,7.99,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
46.0,메리츠금융지주,45350.0,2750.0,+6.46%,500.0,77816.0,171589.0,12.85,1083022.0,5.56,30.32,
47.0,롯데케미칼,173300.0,900.0,-0.52%,5000.0,74130.0,42775.0,24.04,64863.0,101.4,0.43,
48.0,카카오페이,54800.0,800.0,-1.44%,500.0,73380.0,133905.0,43.47,162971.0,134.64,3.08,
49.0,아모레퍼시픽,124300.0,1200.0,-0.96%,500.0,72706.0,58493.0,24.76,438061.0,63.84,2.81,
50.0,LG이노텍,262000.0,2500.0,-0.95%,5000.0,62008.0,23667.0,21.04,192852.0,6.33,25.85,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
51.0,현대글로비스,164500.0,500.0,-0.30%,500.0,61688.0,37500.0,47.22,83872.0,5.18,18.78,
52.0,HD한국조선해양,86700.0,1100.0,+1.29%,5000.0,61360.0,70773.0,20.68,316578.0,-28.29,-2.22,
53.0,KODEX 200,33350.0,230.0,-0.68%,0.0,58746.0,176150.0,3.65,3198479.0,,,
54.0,삼성엔지니어링,29850.0,50.0,+0.17%,5000.0,58506.0,196000.0,46.8,694811.0,8.8,28.32,
55.0,DB손해보험,82000.0,500.0,-0.61%,500.0,58056.0,70800.0,44.06,100829.0,5.91,16.45,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
56.0,SK아이이테크놀로지,81400.0,1500.0,-1.81%,1000.0,58036.0,71298.0,6.84,455081.0,-195.67,-1.35,
57.0,LG디스플레이,16190.0,160.0,-0.98%,5000.0,57930.0,357816.0,20.06,1367515.0,-1.89,-26.71,
58.0,SK스퀘어,40400.0,1200.0,-2.88%,100.0,57153.0,141468.0,42.25,389919.0,22.0,1.55,
59.0,넷마블,65900.0,300.0,-0.45%,100.0,56643.0,85954.0,22.55,150229.0,-6.91,-14.56,
60.0,한국항공우주,57700.0,200.0,+0.35%,5000.0,56243.0,97475.0,27.74,1276506.0,47.49,8.78,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
61.0,SK바이오사이언스,72600.0,3300.0,-4.35%,500.0,55745.0,76784.0,4.0,325648.0,45.49,,
62.0,오리온,140900.0,3300.0,-2.29%,500.0,55706.0,39536.0,41.58,119640.0,14.2,16.47,
63.0,SK바이오팜,69200.0,100.0,-0.14%,500.0,54193.0,78313.0,6.54,79107.0,-38.88,-36.66,
64.0,한화에어로스페이스,106300.0,200.0,-0.19%,5000.0,53820.0,50630.0,33.26,1713281.0,26.8,6.98,
65.0,F&F,136900.0,2200.0,+1.63%,100.0,52442.0,38307.0,12.51,152482.0,11.87,60.4,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
66.0,코스모신소재,170000.0,9400.0,-5.24%,1000.0,52106.0,30651.0,7.03,703370.0,186.61,12.13,
67.0,포스코인터내셔널,28950.0,1000.0,+3.58%,5000.0,50930.0,175923.0,5.02,1014444.0,6.06,15.79,
68.0,한온시스템,9500.0,350.0,+3.83%,100.0,50711.0,533800.0,16.43,1357857.0,250.0,0.89,
69.0,맥쿼리인프라,12450.0,20.0,-0.16%,0.0,50403.0,404846.0,13.84,445912.0,,,
70.0,삼성중공업,5710.0,0.0,0.00%,1000.0,50248.0,880000.0,16.07,3207592.0,-8.11,-16.08,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71.0,LG유플러스,11020.0,130.0,-1.17%,5000.0,48115.0,436611.0,38.97,670280.0,7.25,8.37,
72.0,현대제철,36050.0,1350.0,-3.61%,5000.0,48107.0,133446.0,24.82,538010.0,4.73,5.56,
73.0,TIGER CD금리투자KIS(합성),52250.0,5.0,+0.01%,0.0,47805.0,91492.0,0.0,80977.0,,,
